Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699359088.611,47.712,1800.0,25.0,8.4
1699359088.621,47.712,1800.0,25.0,8.4
1699359088.63,48.199,1800.0,33.3,8.4
1699359088.639,48.199,1800.0,0.0,8.4
1699359088.649,48.199,1800.0,40.0,8.4
1699359088.658,47.712,1800.0,25.0,8.4
1699359088.668,47.712,1800.0,25.0,8.4
1699359088.678,48.199,1800.0,33.3,8.4
1699359088.688,48.199,1800.0,25.0,8.4
1699359088.697,47.712,1800.0,25.0,8.4
1699359088.707,47.712,1800.0,0.0,8.4
1699359088.716,47.712,1800.0,40.0,8.4
1699359088.726,48.199,1800.0,0.0,8.4
1699359088.735,48.199,1800.0,50.0,8.4
1699359088.745,47.712,1800.0,25.0,8.4
1699359088.755,47.712,1800.0,25.0,8.4
1699359088.764,47.225,1800.0,25.0,8.4
1699359088.774,47.225,1800.0,25.0,8.4
1699359088.784,47.225,1800.0,25.0,8.4
1699359088.794,48.199,1800.0,25.0,8.4
1699359088.803,48.199,1800.0,33.3,8.4
1699359088.813,48.199,1800.0,25.0,8.4
1699359088.822,48.199,1800.0,25.0,8.4
1699359088.832,48.199,1800.0,0.0,8.4
1699359088.842,48.199,1800.0,25.0,8.4
1699359088.852,47.712,1800.0,40.0,8.4
1699359088.861,47.712,1800.0,25.0,8.4
1699359088.871,47.712,1800.0,25.0,8.4
1699359088.881,48.686,1800.0,33.3,8.4
1699359088.89,48.686,1800.0,25.0,8.4
1699359088.9,47.712,1800.0,0.0,8.4
1699359088.91,47.712,1800.0,25.0,8.4
1699359088.92,48.199,1800.0,40.0,8.4
1699359088.93,48.199,1800.0,0.0,8.4
1699359088.939,47.712,1800.0,40.0,8.4
1699359088.949,47.712,1800.0,0.0,8.4
1699359088.959,47.712,1800.0,33.3,8.4
1699359088.969,48.686,1800.0,25.0,8.4
1699359088.978,48.686,1800.0,25.0,8.4
1699359088.988,48.199,1800.0,40.0,8.4
1699359088.998,48.199,1800.0,0.0,8.4
1699359089.008,48.686,1800.0,25.0,8.4
1699359089.018,48.686,1800.0,25.0,8.4
1699359089.028,48.686,1800.0,25.0,8.4
1699359089.038,48.686,1800.0,25.0,8.4
1699359089.048,48.686,1800.0,25.0,8.4
1699359089.058,47.712,1800.0,25.0,8.4
1699359089.068,47.712,1800.0,25.0,8.4
1699359089.078,48.199,1800.0,25.0,8.4
1699359089.088,48.199,1800.0,50.0,8.4
1699359089.098,48.199,1800.0,25.0,8.4
1699359089.108,48.199,1800.0,25.0,8.4
1699359089.118,47.712,1800.0,25.0,8.4
1699359089.128,47.712,1800.0,25.0,8.4
1699359089.138,48.199,1800.0,25.0,8.4
1699359089.148,48.199,1800.0,25.0,8.4
1699359089.158,48.686,1800.0,25.0,8.4
1699359089.168,48.686,1800.0,0.0,8.4
1699359089.178,48.686,1800.0,25.0,8.4
1699359089.188,48.686,1800.0,25.0,8.4
1699359089.198,48.686,1800.0,25.0,8.4
1699359089.209,49.173,1800.0,25.0,8.4
1699359089.219,49.173,1800.0,25.0,8.4
1699359089.229,47.225,1800.0,40.0,8.4
1699359089.239,47.225,1800.0,0.0,8.4
1699359089.249,48.199,1800.0,40.0,8.4
1699359089.259,48.199,1800.0,0.0,8.4
1699359089.269,48.199,1800.0,40.0,8.4
1699359089.279,48.199,1800.0,0.0,8.4
1699359089.289,48.199,1800.0,40.0,8.4
1699359089.299,49.66,1800.0,0.0,8.4
1699359089.31,49.66,1800.0,40.0,8.4
1699359089.32,48.199,1800.0,25.0,8.4
1699359089.33,48.199,1800.0,25.0,8.4
1699359089.34,47.712,1800.0,25.0,8.4
1699359089.35,47.712,1800.0,25.0,8.4
1699359089.36,48.199,1800.0,25.0,8.4
1699359089.371,48.199,1800.0,25.0,8.4
1699359089.381,48.199,1800.0,25.0,8.4
1699359089.391,48.199,1800.0,25.0,8.4
1699359089.401,49.173,1800.0,25.0,8.4
