Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699352768.263,46.251,600.0,0.0,10.3
1699352768.766,47.225,1800.0,17.0,9.9
1699352769.268,47.712,1800.0,32.5,10.3
1699352769.771,47.225,1800.0,0.5,10.3
1699352770.273,46.251,1800.0,0.0,10.3
1699352770.776,47.225,1800.0,0.0,10.3
1699352771.278,46.738,1800.0,0.0,10.3
1699352771.78,47.225,1800.0,0.0,10.3
1699352772.282,47.225,1800.0,0.0,10.3
1699352772.785,46.251,1800.0,0.5,10.3
1699352773.287,46.738,1800.0,0.0,10.3
1699352773.792,46.251,600.0,1.5,10.3
1699352774.298,46.738,600.0,0.5,10.2
1699352774.801,46.738,1800.0,25.4,10.1
1699352775.304,47.712,1800.0,22.1,10.2
1699352775.806,48.199,1800.0,0.0,10.2
1699352776.309,46.738,1800.0,0.5,10.2
1699352776.811,47.225,1800.0,0.0,10.2
1699352777.313,46.251,1800.0,0.0,10.2
1699352777.815,47.225,1800.0,0.0,10.2
1699352778.318,46.738,1800.0,0.0,10.2
1699352778.82,46.738,1800.0,1.5,10.2
1699352779.322,46.251,1800.0,0.0,10.2
1699352779.827,45.764,600.0,0.5,10.2
1699352780.33,46.251,1800.0,10.4,9.8
1699352780.833,47.712,1800.0,33.8,10.3
1699352781.336,45.764,1800.0,3.5,10.3
1699352781.838,46.251,1800.0,0.0,10.3
1699352782.341,46.251,1800.0,0.0,10.3
1699352782.843,46.738,1800.0,0.0,10.3
1699352783.345,46.251,1800.0,0.5,10.3
1699352783.848,45.764,1800.0,1.0,10.3
1699352784.35,46.251,1800.0,0.0,10.3
1699352784.853,46.251,1800.0,1.0,10.3
1699352785.358,46.251,600.0,1.0,10.3
1699352785.863,46.251,600.0,0.5,10.3
1699352786.366,47.225,1800.0,20.4,10.0
1699352786.869,46.738,1800.0,26.1,10.3
1699352787.371,47.712,1800.0,0.0,10.3
1699352787.874,45.277,1800.0,0.0,10.3
1699352788.376,47.225,1800.0,0.0,10.3
1699352788.879,46.251,1800.0,1.5,10.3
1699352789.381,47.712,1800.0,0.0,10.3
1699352789.883,45.764,1800.0,0.0,10.3
1699352790.386,45.764,1800.0,0.5,10.3
1699352790.888,45.764,1800.0,0.0,10.3
1699352791.393,46.738,600.0,0.5,10.3
1699352791.898,46.251,1000.0,6.0,9.3
1699352792.402,47.225,1800.0,25.5,10.1
1699352792.905,46.738,1800.0,16.9,10.2
