Temps,Luminosite
1697148290,4095
1697148290,4095
1697148291,4095
1697148291,4095
1697148292,4095
1697148292,4095
1697148293,4095
1697148293,4095
1697148295,4095
1697148295,4095
1697148295,4095
1697148295,4095
1697148296,4095
1697148296,4095
1697148297,4095
1697148297,4095
1697148298,4095
1697148298,4095
1697148299,4095
1697148299,4095
1697148300,4095
1697148300,4095
1697148301,4095
1697148301,4095
1697148302,4095
1697148302,4095
1697148303,4095
1697148303,4095
1697148304,4095
1697148304,4095
1697148305,4095
1697148305,4095
1697148306,4095
1697148306,4095
1697148307,4095
1697148307,4095
1697148308,4095
1697148308,4095
1697148310,4095
1697148310,4095
1697148310,4095
1697148310,4095
1697148311,4095
1697148311,4095
1697148312,4095
1697148312,4095
1697148313,4095
1697148313,4095
1697148314,4095
1697148314,4095
1697148315,4095
1697148315,4095
1697148316,4095
1697148316,4095
1697148317,4095
1697148317,4095
1697148318,4095
1697148318,4095
1697148319,4095
1697148319,4095
1697148320,4095
1697148320,4095
1697148321,4095
1697148321,4095
1697148322,4095
1697148322,4095
1697148323,4095
1697148323,4095
1697148325,4095
1697148325,4095
1697148325,4095
1697148325,4095
1697148326,4095
1697148326,4095
1697148327,4095
1697148327,4095
1697148329,4095
1697148329,4095
1697148329,4095
1697148329,4095
1697148330,4095
1697148330,4095
1697148331,4095
1697148331,4095
1697148332,4095
1697148332,4095
1697148333,4095
1697148333,4095
1697148334,4095
1697148334,4095
1697148335,4095
1697148335,4095
1697148336,4095
1697148336,4095
1697148337,4095
1697148337,4095
1697148338,4095
1697148338,4095
1697148339,4095
1697148339,4095
1697148340,4095
1697148340,4095
1697148341,4095
1697148341,4095
1697148342,4095
1697148342,4095
1697148343,4095
1697148343,4095
1697148344,4095
1697148344,4095
1697148345,4095
1697148345,4095
1697148346,4095
1697148346,4095
1697148347,4095
1697148347,4095
1697148348,4095
1697148348,4095
1697148349,4095
1697148349,4095
1697148350,4095
1697148350,4095
1697148351,4095
1697148351,4095
1697148352,4095
1697148352,4095
1697148353,4095
1697148353,4095
1697148354,4095
1697148354,4095
1697148355,4095
1697148355,4095
1697148356,4095
1697148356,4095
1697148357,4095
1697148357,4095
1697148358,4095
1697148358,4095
1697148359,4095
1697148359,4095
1697148360,4095
1697148360,4095
1697148361,4095
1697148361,4095
1697148362,4095
1697148362,4095
1697148363,4095
1697148363,4095
1697148364,4095
1697148364,4095
1697148365,4095
1697148365,4095
1697148366,4095
1697148366,4095
1697148367,4095
1697148367,4095
1697148368,4095
1697148368,4095
1697148369,4095
1697148369,4095
1697148370,4095
1697148370,4095
1697148371,4095
1697148371,4095
1697148372,4095
1697148372,4095
1697148373,4095
1697148373,4095
1697148374,4095
1697148374,4095
1697148375,4095
1697148375,4095
1697148376,4095
1697148376,4095
1697148377,4095
1697148377,4095
1697148378,4095
1697148378,4095
1697148379,4095
1697148379,4095
1697148380,4095
1697148380,4095
1697148381,4095
1697148381,4095
1697148382,4095
1697148382,4095
1697148383,4095
1697148383,4095
1697148384,4095
1697148384,4095
1697148385,4095
1697148385,4095
1697148386,4095
1697148386,4095
1697148387,4095
1697148387,4095
1697148388,4095
1697148388,4095
1697148389,4095
1697148389,4095
1697148390,4095
1697148390,4095
1697148391,4095
1697148391,4095
1697148392,4095
1697148392,4095
1697148393,4095
1697148393,4095
1697148394,4095
1697148394,4095
1697148395,4095
1697148395,4095
1697148396,4095
1697148396,4095
1697148397,4095
1697148397,4095
1697148398,4095
1697148398,4095
1697148399,4095
1697148399,4095
1697148400,4095
1697148400,4095
1697148401,4095
1697148401,4095
1697148402,4095
1697148402,4095
1697148403,4095
1697148403,4095
1697148404,4095
1697148404,4095
1697148405,4095
1697148405,4095
1697148406,4095
1697148406,4095
1697148407,4095
1697148407,4095
1697148408,4095
1697148408,4095
1697148409,4095
1697148409,4095
1697148410,4095
1697148410,4095
1697148411,4095
1697148411,4095
1697148412,4095
1697148412,4095
1697148413,4095
1697148413,4095
1697148414,4095
1697148414,4095
1697148415,4095
1697148415,4095
1697148416,4095
1697148416,4095
1697148417,4095
1697148417,4095
1697148418,4095
1697148418,4095
1697148419,4095
1697148419,4095
1697148420,4095
1697148420,4095
1697148421,4095
1697148421,4095
1697148422,4095
1697148422,4095
1697148423,4095
1697148423,4095
1697148424,4095
1697148424,4095
1697148425,4095
1697148425,4095
1697148426,4095
1697148426,4095
1697148427,4095
1697148427,4095
1697148428,4095
1697148428,4095
1697148429,4095
1697148429,4095
1697148430,4095
1697148430,4095
1697148431,4095
1697148431,4095
1697148432,4095
1697148432,4095
1697148433,4095
1697148433,4095
1697148434,4095
1697148434,4095
1697148435,4095
1697148435,4095
1697148436,4095
1697148436,4095
1697148437,4095
1697148437,4095
1697148438,4095
1697148439,4095
1697148439,4095
1697148439,4095
1697148440,4095
1697148440,4095
1697148441,4095
1697148441,4095
1697148442,4095
1697148442,4095
1697148443,4095
1697148443,4095
1697148444,4095
1697148444,4095
1697148445,4095
1697148445,4095
1697148446,4095
1697148446,4095
1697148447,4095
1697148447,4095
1697148448,4095
1697148448,4095
1697148449,4095
1697148449,4095
1697148450,4095
1697148450,4095
1697148451,4095
1697148451,4095
1697148452,4095
1697148452,4095
1697148453,4095
1697148453,4095
1697148454,4095
1697148454,4095
1697148455,4095
1697148455,4095
1697148456,4095
1697148456,4095
1697148457,4095
1697148457,4095
1697148458,4095
1697148458,4095
1697148459,4095
1697148459,4095
1697148460,4095
1697148460,4095
1697148461,4095
1697148461,4095
1697148462,4095
1697148462,4095
1697148463,4095
1697148463,4095
1697148464,4095
1697148464,4095
1697148465,4095
1697148465,4095
1697148466,4095
1697148466,4095
1697148467,4095
1697148467,4095
1697148468,4095
1697148468,4095
1697148469,4095
1697148469,4095
1697148470,4095
1697148470,4095
1697148471,4095
1697148471,4095
1697148472,4095
1697148472,4095
1697148473,4095
1697148473,4095
1697148474,4095
1697148474,4095
1697148475,4095
1697148475,4095
1697148477,4095
1697148477,4095
1697148477,4095
1697148477,4095
1697148478,4095
1697148478,4095
1697148479,4095
1697148479,4095
1697148480,4095
1697148480,4095
1697148481,4095
1697148481,4095
1697148482,4095
1697148482,4095
1697148483,4095
1697148483,4095
1697148484,4095
1697148484,4095
1697148485,4095
1697148485,4095
