Temps,Delay
1697457803006.0,6
1697457808012.0,7
1697457813016.0,6
1697457818020.0,7
1697457823024.0,6
1697457828025.0,6
1697457833025.0,6
1697457838030.0,6
1697457843035.0,6
1697457848039.0,7
1697457853044.0,7
1697457858047.0,6
1697457863051.0,7
1697457868055.0,6
1697457873061.0,7
1697457878063.0,6
1697457883068.0,6
1697457888068.0,6
1697457893069.0,7
1697457898073.0,6
1697457903079.0,7
1697457908081.0,6
1697457913085.0,6
1697457918089.0,6
1697457923095.0,8
1697457928099.0,7
1697457933104.0,6
1697457938108.0,7
1697457943113.0,7
1697457948112.0,6
1697457953112.0,6
1697457958117.0,6
1697457963123.0,7
1697457968125.0,6
1697457973131.0,7
1697457978135.0,7
1697457983138.0,7
1697457988143.0,7
1697457993147.0,6
1697457998151.0,7
1697458003156.0,7
1697458008155.0,6
1697458013156.0,6
1697458018162.0,7
1697458023166.0,6
1697458028166.0,2
1697458033176.0,7
1697458038180.0,6
1697458043184.0,7
1697458048189.0,7
1697458053194.0,6
1697458058198.0,7
1697458063203.0,7
1697458068202.0,6
1697458073203.0,6
1697458078209.0,7
1697458083214.0,7
1697458088216.0,6
1697458093221.0,6
1697458098226.0,7
1697458103228.0,6
1697458108233.0,6
1697458113239.0,7
1697458118242.0,7
1697458123246.0,6
1697458128247.0,7
1697458133246.0,6
1697458138252.0,7
1697458143257.0,6
1697458148261.0,7
1697458153265.0,6
1697458158269.0,6
1697458163273.0,7
1697458168277.0,6
1697458173283.0,7
1697458178286.0,6
1697458183291.0,6
1697458188292.0,7
1697458193291.0,6
1697458198296.0,6
1697458203301.0,6
1697458208304.0,6
1697458213310.0,7
1697458218314.0,7
1697458223317.0,7
1697458228321.0,6
1697458233326.0,6
1697458238330.0,7
1697458243335.0,7
1697458248334.0,6
1697458253335.0,7
1697458258340.0,7
1697458263344.0,6
1697458268348.0,7
1697458273353.0,6
1697458278357.0,6
1697458283360.0,6
1697458288365.0,6
1697458293371.0,7
1697458298374.0,6
1697458303379.0,6
1697458308379.0,6
1697458313379.0,6
1697458318384.0,6
1697458323389.0,6
1697458328393.0,7
1697458333398.0,7
1697458338402.0,6
1697458343406.0,6
1697458348411.0,6
1697458353416.0,6
1697458358421.0,8
1697458363425.0,6
1697458368424.0,6
1697458373425.0,6
1697458378431.0,6
1697458383437.0,6
1697458388441.0,7
1697458393445.0,6
1697458398450.0,6
1697458403454.0,6
1697458408459.0,6
1697458413464.0,6
1697458418468.0,7
1697458423472.0,6
1697458428473.0,7
1697458433474.0,7
1697458438479.0,7
